Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category
R000620,"Education: IT Certification Experience: 4 years Skills: Teamwork, Statistics, Linux, React Native, SQL, Backup Recovery, Oracle, Security",IT Certification,4,Teamwork|Statistics|Linux|React Native|SQL|Backup Recovery|Oracle|Security|Serverless|Database Optimization|MongoDB,Database Administrator,Technology
R000621,"Education: Bachelor's in Computer Engineering Experience: 4 years Skills: Teamwork, C/C++, Sensors, System Design, Networking, Embedded Systems, Adaptability, IoT Technology",Bachelor's in Computer Engineering,4,Teamwork|C/C++|Sensors|System Design|Networking|Embedded Systems|Adaptability|IoT Technology|Time Management,IoT Engineer,Technology
R000622,"Education: Trade School Experience: 1 years Skills: Carpentry, Technical Skills, Hand Tools, Precision, Pandas, Safety, Time Management, Problem Solving",Trade School,1,Carpentry|Technical Skills|Hand Tools|Precision|Pandas|Safety|Time Management|Problem Solving,Carpenter,Skilled Trades
R000623,"Education: Bachelor's in Nursing Experience: 0 years Skills: Business Acumen, Communication, Patient Care, Critical Thinking, Attention to Detail, Compassion, GCP, Medical Knowledge",Bachelor's in Nursing,0,Business Acumen|Communication|Patient Care|Critical Thinking|Attention to Detail|Compassion|GCP|Medical Knowledge|C++,Nurse,Healthcare
R000624,"Education: Bachelor's in Design Experience: 1 years Skills: Project Management, Problem Solving, Technical Skills, Creativity, Exhibition Design, Communication, Jira, Tableau",Bachelor's in Design,1,Project Management|Problem Solving|Technical Skills|Creativity|Exhibition Design|Communication|Jira|Tableau,Exhibition Designer,Arts & Culture
R000625,"Education: Training Certification Experience: 6 years Skills: PHP, Program Design, Evaluation, Confluence, Communication, Penetration Testing, Curriculum Development, Instruction",Training Certification,6,PHP|Program Design|Evaluation|Confluence|Communication|Penetration Testing|Curriculum Development|Instruction|Documentation|Leadership|HTML,Training Manager,Education & Training
R000626,"Education: Bachelor's in Animation Experience: 0 years Skills: TypeScript, Creativity, Storytelling, Technical Skills, Timing, Power BI, Sales, Data Analysis",Bachelor's in Animation,0,TypeScript|Creativity|Storytelling|Technical Skills|Timing|Power BI|Sales|Data Analysis|Animation Software|Drawing,Animator,Creative & Design
R000627,"Education: Master's in Business Experience: 6 years Skills: Sales, Security Architecture, Business Development Strategy, Negotiation, Market Analysis, Python, Communication, Networking",Master's in Business,6,Sales|Security Architecture|Business Development Strategy|Negotiation|Market Analysis|Python|Communication|Networking,Business Development Manager,Marketing & Sales
R000628,"Education: Master's in Business Experience: 10 years Skills: Communication, Vision, Technical Writing, Encryption, Department Management, Decision Making, Strategic Leadership, C#",Master's in Business,10,Communication|Vision|Technical Writing|Encryption|Department Management|Decision Making|Strategic Leadership|C#|Adaptability|Business Development,Vice President,Private Sector Management
R000629,"Education: Bachelor's in Business Experience: 1 years Skills: Product Strategy, Positioning, Analytics, Market Research, Java, Web Design, CloudFormation, Campaign Management",Bachelor's in Business,1,Product Strategy|Positioning|Analytics|Market Research|Java|Web Design|CloudFormation|Campaign Management|MongoDB|Messaging,Product Marketing Manager,Marketing & Sales
R000630,"Education: High School Experience: 0 years Skills: Technical Writing, Organization, TensorFlow, Administrative Skills, Typing, Attention to Detail, Legal Knowledge, Communication",High School,0,Technical Writing|Organization|TensorFlow|Administrative Skills|Typing|Attention to Detail|Legal Knowledge|Communication,Legal Secretary,Legal Services
R000631,"Education: Bachelor's in Computer Science Experience: 3 years Skills: SQL, Apache Spark, Business Development, Scala, Jira, Functional Programming, Problem Solving, User Experience",Bachelor's in Computer Science,3,SQL|Apache Spark|Business Development|Scala|Jira|Functional Programming|Problem Solving|User Experience|Big Data,Scala Developer,Technology
R000632,"Education: Radiography License Experience: 2 years Skills: Communication, Imaging Technology, Statistics, Radiation Safety, Technical Skills, Financial Analysis, Attention to Detail, SEO",Radiography License,2,Communication|Imaging Technology|Statistics|Radiation Safety|Technical Skills|Financial Analysis|Attention to Detail|SEO|Network Security|Patient Care|Business Acumen,Radiographer,Healthcare
R000633,"Education: Bachelor's in English Experience: 0 years Skills: Vue.js, Pandas, Communication, Creativity, SEO Knowledge, MySQL, Writing, Brand Voice",Bachelor's in English,0,Vue.js|Pandas|Communication|Creativity|SEO Knowledge|MySQL|Writing|Brand Voice|React Native|Research|Marketing,Copywriter,Creative & Design
R000634,"Education: Portfolio Experience: 1 years Skills: Client Service, Business Acumen, Photography, Adobe Creative Suite, Azure, Creativity, TensorFlow, Lighting",Portfolio,1,Client Service|Business Acumen|Photography|Adobe Creative Suite|Azure|Creativity|TensorFlow|Lighting|Editing Software|Composition,Photographer,Creative & Design
R000635,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Problem Solving, Communication, Technical Knowledge, Account Management, Product Knowledge, Database Design, React Native, Client Relations",Bachelor's in Computer Science,3,Problem Solving|Communication|Technical Knowledge|Account Management|Product Knowledge|Database Design|React Native|Client Relations,Technical Account Manager,Technology
R000636,"Education: IT Certification Experience: 3 years Skills: Troubleshooting, Scrum, Technical Knowledge, Communication, Patience, Customer Service, Problem Solving, Microservices",IT Certification,3,Troubleshooting|Scrum|Technical Knowledge|Communication|Patience|Customer Service|Problem Solving|Microservices,Technical Support Specialist,Sales & Customer Service
R000637,"Education: Master's or PhD in Psychology Experience: 5 years Skills: Node.js, Mobile Security, Counseling, TensorFlow, Research, Empathy, Market Research, Psychological Assessment",Master's or PhD in Psychology,5,Node.js|Mobile Security|Counseling|TensorFlow|Research|Empathy|Market Research|Psychological Assessment|Patient Communication|Risk Assessment|Critical Thinking,Psychologist,Healthcare
R000638,"Education: High School Experience: 3 years Skills: Problem Solving, Negotiation, Mobile Security, Marketing, Communication, Customer Service, Product Knowledge, Attention to Detail",High School,3,Problem Solving|Negotiation|Mobile Security|Marketing|Communication|Customer Service|Product Knowledge|Attention to Detail|Adaptability|Patience|Flutter,Customer Service Representative,Sales & Customer Service
R000639,"Education: Bachelor's in Operations Management Experience: 6 years Skills: Data Analysis, Quality Control, Efficiency Optimization, Leadership, GraphQL, Project Management, Process Management, Java",Bachelor's in Operations Management,6,Data Analysis|Quality Control|Efficiency Optimization|Leadership|GraphQL|Project Management|Process Management|Java,Operations Manager,Operations & Supply Chain
R000640,"Education: Master's in Public Policy Experience: 4 years Skills: Deep Learning, CloudFormation, MongoDB, App Testing, Policy Expertise, Analysis, Strategic Thinking, Writing",Master's in Public Policy,4,Deep Learning|CloudFormation|MongoDB|App Testing|Policy Expertise|Analysis|Strategic Thinking|Writing|Communication|Research,Policy Advisor,Government & Public Service
R000641,"Education: MBA Experience: 3 years Skills: Environmental Knowledge, Django, Presentation Skills, Problem Solving, Communication, Sustainability Strategy, Business Acumen, Analysis",MBA,3,Environmental Knowledge|Django|Presentation Skills|Problem Solving|Communication|Sustainability Strategy|Business Acumen|Analysis,Sustainability Consultant,Environmental
R000642,"Education: Bachelor's in English Experience: 0 years Skills: API Documentation, Financial Analysis, PyTorch, Documentation, Technical Writing, Organization, Problem Solving, Communication",Bachelor's in English,0,API Documentation|Financial Analysis|PyTorch|Documentation|Technical Writing|Organization|Problem Solving|Communication,Technical Writer,Technology
R000643,"Education: HVAC Certification Experience: 1 years Skills: Scikit-learn, Problem Solving, Technical Knowledge, Troubleshooting, Rust, Equipment, Safety, HVAC Systems",HVAC Certification,1,Scikit-learn|Problem Solving|Technical Knowledge|Troubleshooting|Rust|Equipment|Safety|HVAC Systems,HVAC Technician,Skilled Trades
R000644,"Education: Master's in Computer Science Experience: 6 years Skills: Scalability, Marketing, System Design, CSS, Architecture Patterns, Multiple Languages, Leadership, Microservices",Master's in Computer Science,6,Scalability|Marketing|System Design|CSS|Architecture Patterns|Multiple Languages|Leadership|Microservices,Software Architect,Technology
R000645,"Education: Bachelor's in IT Experience: 5 years Skills: Data Integration, Data Quality, Node.js, Problem Solving, SQL, REST API, Performance, ETL Tools",Bachelor's in IT,5,Data Integration|Data Quality|Node.js|Problem Solving|SQL|REST API|Performance|ETL Tools,ETL Developer,Data & Analytics
R000646,"Education: Bachelor's in Computer Science Experience: 2 years Skills: API Development, C#, Symfony, HTML/CSS, Swift, PHP, Laravel, MySQL",Bachelor's in Computer Science,2,API Development|C#|Symfony|HTML/CSS|Swift|PHP|Laravel|MySQL|Negotiation|Project Management|Android,PHP Developer,Technology
R000647,"Education: Bachelor's in Aerospace Engineering Experience: 4 years Skills: Design, Scala, Business Acumen, Vue.js, Physics, MATLAB, CAD, Strategic Planning",Bachelor's in Aerospace Engineering,4,Design|Scala|Business Acumen|Vue.js|Physics|MATLAB|CAD|Strategic Planning|Aerodynamics|Structural Analysis,Aerospace Engineer,Engineering & Manufacturing
R000648,"Education: High School Experience: 3 years Skills: Communication, Leadership, Management, Database Design, Business Acumen, Fitness Industry Knowledge, Sales, Customer Service",High School,3,Communication|Leadership|Management|Database Design|Business Acumen|Fitness Industry Knowledge|Sales|Customer Service,Fitness Manager,Sports & Recreation
R000649,"Education: Trade School Experience: 3 years Skills: Attention to Detail, Troubleshooting, Problem Solving, Oracle, Business Development, User Experience, MongoDB, Equipment Knowledge",Trade School,3,Attention to Detail|Troubleshooting|Problem Solving|Oracle|Business Development|User Experience|MongoDB|Equipment Knowledge|Mobile UI/UX|Safety|Vehicle Mechanics,Mechanic,Skilled Trades
R000650,"Education: Bachelor's in Business Experience: 1 years Skills: Communication, iOS, Executive Support, MySQL, Organization, Discretion, Leadership Support, Wireframing",Bachelor's in Business,1,Communication|iOS|Executive Support|MySQL|Organization|Discretion|Leadership Support|Wireframing|Problem Solving,Executive Assistant,Administration
R000651,"Education: Oracle Certification Experience: 2 years Skills: SQL, ERP Systems, PL/SQL, Problem Solving, Market Research, SEO, Microservices, Configuration",Oracle Certification,2,SQL|ERP Systems|PL/SQL|Problem Solving|Market Research|SEO|Microservices|Configuration|Oracle Apps,Oracle Applications Developer,Technology
R000652,"Education: Master's in Social Work Experience: 2 years Skills: Case Management, Counseling, Empathy, Communication, Crisis Intervention, CloudFormation, Problem Solving, R",Master's in Social Work,2,Case Management|Counseling|Empathy|Communication|Crisis Intervention|CloudFormation|Problem Solving|R,Social Worker,Human Services & Social Work
R000653,"Education: Master's in Business Experience: 6 years Skills: Sales, PyTorch, Communication, Tableau, Market Analysis, Negotiation, Networking, Docker",Master's in Business,6,Sales|PyTorch|Communication|Tableau|Market Analysis|Negotiation|Networking|Docker|Business Development Strategy,Business Development Manager,Marketing & Sales
R000654,"Education: Trade School Experience: 1 years Skills: Safety, Troubleshooting, Technical Knowledge, Equipment, Network Security, HVAC Systems, Business Development, Serverless",Trade School,1,Safety|Troubleshooting|Technical Knowledge|Equipment|Network Security|HVAC Systems|Business Development|Serverless|Problem Solving,HVAC Technician,Skilled Trades
R000655,"Education: License Experience: 5 years Skills: Empathy, Patient Communication, Medical Knowledge, Treatment Planning, User Interface, Python, Wireframing, Problem Solving",License,5,Empathy|Patient Communication|Medical Knowledge|Treatment Planning|User Interface|Python|Wireframing|Problem Solving|Redis|Psychiatric Diagnosis|React,Psychiatrist,Healthcare
R000656,"Education: Grant Writing Certification Experience: 1 years Skills: Communication, CI/CD, Perl, Organization, Problem Solving, Research, Grant Writing, Fundraising Knowledge",Grant Writing Certification,1,Communication|CI/CD|Perl|Organization|Problem Solving|Research|Grant Writing|Fundraising Knowledge,Grant Writer,Non-profit & Charity
R000657,"Education: Bachelor's in Biomedical Engineering Experience: 4 years Skills: Problem Solving, CAD, Budget Management, Risk Assessment, Regulatory Knowledge, Biomedical Systems, Swift, Technical Design",Bachelor's in Biomedical Engineering,4,Problem Solving|CAD|Budget Management|Risk Assessment|Regulatory Knowledge|Biomedical Systems|Swift|Technical Design|CI/CD|Strategic Planning|Medical Devices,Biomedical Engineer,Engineering & Manufacturing
R000658,"Education: Oracle Certification Experience: 4 years Skills: Scala, PHP, Penetration Testing, Oracle Apps, Problem Solving, Configuration, Adobe Creative Suite, ERP Systems",Oracle Certification,4,Scala|PHP|Penetration Testing|Oracle Apps|Problem Solving|Configuration|Adobe Creative Suite|ERP Systems|PL/SQL|SQL,Oracle Applications Developer,Technology
R000659,"Education: Animation Certification Experience: 0 years Skills: Animation Software, Marketing, TensorFlow, Technical Skills, Timing, Drawing, Creativity, Storytelling",Animation Certification,0,Animation Software|Marketing|TensorFlow|Technical Skills|Timing|Drawing|Creativity|Storytelling,Animator,Creative & Design
R000660,"Education: Bachelor's in IT Experience: 3 years Skills: Excel, SQL, Power BI, Terraform, Tableau, Data Analysis, GraphQL, Reporting",Bachelor's in IT,3,Excel|SQL|Power BI|Terraform|Tableau|Data Analysis|GraphQL|Reporting,BI Analyst,Data & Analytics
R000661,"Education: Bachelor's in Accounting Experience: 4 years Skills: Financial Analysis, Accounting Principles, Problem Solving, QuickBooks, Graphic Design, GAAP, Excel, Tax Knowledge",Bachelor's in Accounting,4,Financial Analysis|Accounting Principles|Problem Solving|QuickBooks|Graphic Design|GAAP|Excel|Tax Knowledge|React Native,Accountant,Finance & Accounting
R000662,"Education: Certification Experience: 2 years Skills: AWS, Technical Skills, Jira, Equipment Knowledge, Marketing, Problem Solving, Sound Design, Compliance",Certification,2,AWS|Technical Skills|Jira|Equipment Knowledge|Marketing|Problem Solving|Sound Design|Compliance|Wireframing|Precision|Audio Engineering,Sound Engineer,Entertainment & Media
R000663,"Education: Bachelor's in Business Experience: 3 years Skills: Communication, Data Analysis, REST API, Statistics, Marketing, Regulations, Compliance, Risk Management",Bachelor's in Business,3,Communication|Data Analysis|REST API|Statistics|Marketing|Regulations|Compliance|Risk Management|Auditing|Documentation,Compliance Officer,Technology
R000664,"Education: Security Certification Experience: 5 years Skills: Problem Solving, Penetration Testing, Encryption, Firewalls, Security Protocols, Networking, CI/CD, Risk Analysis",Security Certification,5,Problem Solving|Penetration Testing|Encryption|Firewalls|Security Protocols|Networking|CI/CD|Risk Analysis,Cybersecurity Specialist,Technology
R000665,"Education: Trade School Experience: 3 years Skills: Plumbing Systems, Ruby, Problem Solving, Technical Knowledge, Safety, Azure, Code Knowledge, Customer Service",Trade School,3,Plumbing Systems|Ruby|Problem Solving|Technical Knowledge|Safety|Azure|Code Knowledge|Customer Service|AWS|Kanban,Plumber,Skilled Trades
R000666,"Education: Leadership Experience: 2 years Skills: Problem Solving, Android, Figma, Ruby, Staff Training, Customer Service, Inventory, Supervision",Leadership,2,Problem Solving|Android|Figma|Ruby|Staff Training|Customer Service|Inventory|Supervision|Sales|HTML|User Interface,Retail Supervisor,Retail & Hospitality
R000667,"Education: Master's in Data Science Experience: 3 years Skills: User Interface, Academic Writing, Adobe Creative Suite, Ruby, Problem Solving, C++, Research, SQL",Master's in Data Science,3,User Interface|Academic Writing|Adobe Creative Suite|Ruby|Problem Solving|C++|Research|SQL|Python|R|Statistical Analysis,Academic Data Analyst,Data & Analytics
R000668,"Education: Web Design Certification Experience: 0 years Skills: Responsive Design, Mobile Security, Strategic Planning, Creativity, Firewalls, Web Design, Design Tools, HTML/CSS",Web Design Certification,0,Responsive Design|Mobile Security|Strategic Planning|Creativity|Firewalls|Web Design|Design Tools|HTML/CSS|MongoDB|Machine Learning|User Experience,Web Designer,Creative & Design
R000669,"Education: Bachelor's in Mathematics Experience: 4 years Skills: Web Design, TensorFlow, MySQL, SQL, Statistical Analysis, Python, Tableau, Machine Learning",Bachelor's in Mathematics,4,Web Design|TensorFlow|MySQL|SQL|Statistical Analysis|Python|Tableau|Machine Learning|Data Visualization|Excel,Data Analyst,Data & Analytics
R000670,"Education: Bachelor's in Engineering Experience: 4 years Skills: Analytics, Cloud Platforms, SQL, Android, dbt, Data Modeling, Python, Terraform",Bachelor's in Engineering,4,Analytics|Cloud Platforms|SQL|Android|dbt|Data Modeling|Python|Terraform|Compliance|Confluence,Analytics Engineer,Data & Analytics
R000671,"Education: Master's or PhD in Psychology Experience: 5 years Skills: Empathy, Psychological Assessment, Patient Communication, Critical Thinking, Query Optimization, Research, Compliance, Scala",Master's or PhD in Psychology,5,Empathy|Psychological Assessment|Patient Communication|Critical Thinking|Query Optimization|Research|Compliance|Scala|HTML|Counseling,Psychologist,Healthcare
R000672,"Education: Maritime Training Experience: 1 years Skills: Problem Solving, Maritime Knowledge, Leadership, Technical Skills, Business Acumen, Rust, Marketing, Safety",Maritime Training,1,Problem Solving|Maritime Knowledge|Leadership|Technical Skills|Business Acumen|Rust|Marketing|Safety|Angular|Navigation,Deck Officer,Transportation
R000673,"Education: Bachelor's in Computer Science Experience: 4 years Skills: React, Vue.js, CSS, Time Management, HTML, Agile, UI/UX Design, Ruby",Bachelor's in Computer Science,4,React|Vue.js|CSS|Time Management|HTML|Agile|UI/UX Design|Ruby|JavaScript|Network Security,Frontend Developer,Technology
R000674,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Mobile Design, REST API, PHP, XML, Power BI, Android SDK, Java, Kotlin",Bachelor's in Computer Science,2,Mobile Design|REST API|PHP|XML|Power BI|Android SDK|Java|Kotlin|Scala,Mobile Developer Android,Technology
R000675,"Education: Bachelor's in IT Experience: 3 years Skills: JMeter, Analysis, Problem Solving, Adobe Creative Suite, Performance Testing, Load Testing, Machine Learning, Reporting",Bachelor's in IT,3,JMeter|Analysis|Problem Solving|Adobe Creative Suite|Performance Testing|Load Testing|Machine Learning|Reporting|Leadership|NumPy,Performance Tester,Technology
R000676,"Education: Leadership Experience: 5 years Skills: Perl, Equipment, Farm Management, Sustainability, Crop Knowledge, Leadership, Swift, Business Acumen",Leadership,5,Perl|Equipment|Farm Management|Sustainability|Crop Knowledge|Leadership|Swift|Business Acumen,Farm Manager,Agriculture
R000677,"Education: Bachelor's in Business Experience: 5 years Skills: Data Analysis, Project Management, Business Analysis, Problem Solving, CI/CD, Communication, Database Design, Vue.js",Bachelor's in Business,5,Data Analysis|Project Management|Business Analysis|Problem Solving|CI/CD|Communication|Database Design|Vue.js|Process Improvement,Business Consultant,Consulting
R000678,"Education: Bachelor's in Accounting Experience: 7 years Skills: Communication, Internal Controls, Audit Procedures, Compliance, Risk Assessment, Leadership, Scrum, Pandas",Bachelor's in Accounting,7,Communication|Internal Controls|Audit Procedures|Compliance|Risk Assessment|Leadership|Scrum|Pandas,Audit Manager,Finance & Accounting
R000679,"Education: Bachelor's in Computer Science Experience: 5 years Skills: Adobe Creative Suite, HTML/CSS, Database, JavaScript, Node.js, Statistics, Git, Project Management",Bachelor's in Computer Science,5,Adobe Creative Suite|HTML/CSS|Database|JavaScript|Node.js|Statistics|Git|Project Management|Technical Writing|React,Full Stack Developer,Technology
R000680,"Education: Master's in Finance Experience: 11 years Skills: Strategic Leadership, Critical Thinking, Risk Management, Jira, Financial Strategy, Investor Relations, M&A, Board Communication",Master's in Finance,11,Strategic Leadership|Critical Thinking|Risk Management|Jira|Financial Strategy|Investor Relations|M&A|Board Communication,CFO,Finance & Accounting
R000681,"Education: Dental License Experience: 4 years Skills: NoSQL, Attention to Detail, Clinical Skills, Diagnosis, Rust, Compassion, Go, Patient Communication",Dental License,4,NoSQL|Attention to Detail|Clinical Skills|Diagnosis|Rust|Compassion|Go|Patient Communication|Encryption|Dental Procedures,Dentist,Healthcare
R000682,"Education: Specialized Training Experience: 3 years Skills: Problem Solving, Unreal Engine, Oracle, 3D Graphics, AWS, AR/VR Platforms, NumPy, Unity",Specialized Training,3,Problem Solving|Unreal Engine|Oracle|3D Graphics|AWS|AR/VR Platforms|NumPy|Unity|C#,AR/VR Developer,Technology
R000683,"Education: MSW License Experience: 3 years Skills: Perl, Scikit-learn, Counseling, Empathy, Communication, Problem Solving, iOS, Statistics",MSW License,3,Perl|Scikit-learn|Counseling|Empathy|Communication|Problem Solving|iOS|Statistics|Crisis Intervention|Case Management,Social Worker,Human Services & Social Work
R000684,"Education: Bachelor's in Meteorology Experience: 4 years Skills: Problem Solving, Weather Analysis, Data Analysis, Meteorology, Communication, Research, Terraform, Flutter",Bachelor's in Meteorology,4,Problem Solving|Weather Analysis|Data Analysis|Meteorology|Communication|Research|Terraform|Flutter,Meteorologist,Science & Research
R000685,"Education: Bachelor's in Computer Science Experience: 7 years Skills: Mobile UI/UX, Web Accessibility, TypeScript, Code Review, Problem Solving, Architecture, SQL, Communication",Bachelor's in Computer Science,7,Mobile UI/UX|Web Accessibility|TypeScript|Code Review|Problem Solving|Architecture|SQL|Communication|Kotlin|Leadership|Mentoring,Technical Lead,Technology
R000686,"Education: Enterprise Architecture Certification Experience: 6 years Skills: Technical Expertise, Responsive Design, Kubernetes, Communication, Vue.js, Leadership, Enterprise Architecture, Vision",Enterprise Architecture Certification,6,Technical Expertise|Responsive Design|Kubernetes|Communication|Vue.js|Leadership|Enterprise Architecture|Vision|Strategic Design,Enterprise Architect,Technology
R000687,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Jira, PHP, E-commerce, JavaScript, Magento, App Testing, MySQL, Problem Solving",Bachelor's in Computer Science,3,Jira|PHP|E-commerce|JavaScript|Magento|App Testing|MySQL|Problem Solving,Magento Developer,Technology
R000688,"Education: High School Experience: 3 years Skills: Strategic Planning, Communication, Cash Handling, Customer Service, Friendliness, Adobe Creative Suite, Accuracy, Point of Sale",High School,3,Strategic Planning|Communication|Cash Handling|Customer Service|Friendliness|Adobe Creative Suite|Accuracy|Point of Sale,Cashier,Retail & Hospitality
R000689,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Memory Management, JavaScript, Performance, Django, Problem Solving, Debugging, System Programming, C++",Bachelor's in Computer Science,4,Memory Management|JavaScript|Performance|Django|Problem Solving|Debugging|System Programming|C++|C#,C++ Developer,Technology
R000690,"Education: Cloud Certification Experience: 5 years Skills: Azure, Security, Networking, Kanban, JavaScript, Rust, AWS, GCP",Cloud Certification,5,Azure|Security|Networking|Kanban|JavaScript|Rust|AWS|GCP|System Design,Cloud Architect,Technology
R000691,"Education: Security Certification Experience: 0 years Skills: SIEM, Problem Solving, Security Protocols, Communication, Tableau, Log Analysis, Threat Detection, Java",Security Certification,0,SIEM|Problem Solving|Security Protocols|Communication|Tableau|Log Analysis|Threat Detection|Java|Incident Response,SOC Analyst,Technology
R000692,"Education: Doctor of Pharmacy Experience: 2 years Skills: Business Development, Power BI, Accuracy, Time Management, Communication, Drug Interactions, HTML, Pharmacy Knowledge",Doctor of Pharmacy,2,Business Development|Power BI|Accuracy|Time Management|Communication|Drug Interactions|HTML|Pharmacy Knowledge|Patient Counseling|Perl|Attention to Detail,Pharmacist,Healthcare
R000693,"Education: High School Experience: 3 years Skills: Rust, Customer Service, React, Microservices, Networking, Power BI, Troubleshooting, Problem Solving",High School,3,Rust|Customer Service|React|Microservices|Networking|Power BI|Troubleshooting|Problem Solving|Hardware Installation|Documentation,IT Field Technician,Technology
R000694,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Manual Testing, API Testing, Swift, Selenium, Documentation, Node.js, Test Automation, Problem Solving",Bachelor's in Computer Science,4,Manual Testing|API Testing|Swift|Selenium|Documentation|Node.js|Test Automation|Problem Solving,Software Test Engineer,Technology
R000695,"Education: Social Media Certification Experience: 2 years Skills: Content Creation, Machine Learning, Photography/Videography, Sales, Social Media, Analytics, Creativity, Communication",Social Media Certification,2,Content Creation|Machine Learning|Photography/Videography|Sales|Social Media|Analytics|Creativity|Communication,Social Media Content Creator,Media Production
R000696,"Education: High School Experience: 0 years Skills: Content Creation, Creativity, Communication, Technical Skills, Video Production, Database Design, R, Social Media",High School,0,Content Creation|Creativity|Communication|Technical Skills|Video Production|Database Design|R|Social Media|Kubernetes,Content Creator,Media Production
R000697,"Education: Certification Experience: 2 years Skills: Technical Skills, Storytelling, Time Management, Creativity, Lighting, Editing, Machine Learning, Video Shooting",Certification,2,Technical Skills|Storytelling|Time Management|Creativity|Lighting|Editing|Machine Learning|Video Shooting,Videographer,Media Production
R000698,"Education: Bachelor's in IT Experience: 3 years Skills: Machine Learning, Database Design, Administration, Salesforce, User Management, Presentation Skills, Support, Configuration",Bachelor's in IT,3,Machine Learning|Database Design|Administration|Salesforce|User Management|Presentation Skills|Support|Configuration|Data Management,Salesforce Administrator,Technology
R000699,"Education: Culinary School Experience: 6 years Skills: Culinary Skills, Food Safety, Recipe Development, Leadership, Creativity, Network Security, Kitchen Management, Cassandra",Culinary School,6,Culinary Skills|Food Safety|Recipe Development|Leadership|Creativity|Network Security|Kitchen Management|Cassandra,Head Chef,Hospitality & Food Service
R000700,"Education: High School Experience: 1 years Skills: Fitness Knowledge, C++, Communication, Training Program Design, Data Analysis, Problem Solving, Anatomy, Motivation",High School,1,Fitness Knowledge|C++|Communication|Training Program Design|Data Analysis|Problem Solving|Anatomy|Motivation,Personal Trainer,Sports & Recreation
R000701,"Education: High School Experience: 5 years Skills: Security Architecture, Inventory, Staff Training, Problem Solving, Sales, Network Security, Supervision, Documentation",High School,5,Security Architecture|Inventory|Staff Training|Problem Solving|Sales|Network Security|Supervision|Documentation|Customer Service|Oracle,Retail Supervisor,Retail & Hospitality
R000702,"Education: Bachelor's in IT Experience: 5 years Skills: Load Testing, Web Accessibility, Scala, Swift, Reporting, Azure, Analysis, Agile",Bachelor's in IT,5,Load Testing|Web Accessibility|Scala|Swift|Reporting|Azure|Analysis|Agile|Performance Testing|Problem Solving|JMeter,Performance Tester,Technology
R000703,"Education: Diploma in IT Experience: 4 years Skills: React, Terraform, Strategic Planning, Flask, Node.js, JavaScript, Database, Git",Diploma in IT,4,React|Terraform|Strategic Planning|Flask|Node.js|JavaScript|Database|Git|Adobe Creative Suite|HTML/CSS,Full Stack Developer,Technology
R000704,"Education: Bachelor's in IT Experience: 3 years Skills: Performance Tuning, Communication, Informatica, SQL, Data Integration, AWS, Ansible, Data Quality",Bachelor's in IT,3,Performance Tuning|Communication|Informatica|SQL|Data Integration|AWS|Ansible|Data Quality|Flask|ETL|Project Management,Informatica Developer,Data & Analytics
R000705,"Education: Training Experience: 5 years Skills: Risk Assessment, Responsibility, Confluence, Flying, Technical Knowledge, Problem Solving, Decision Making, Safety",Training,5,Risk Assessment|Responsibility|Confluence|Flying|Technical Knowledge|Problem Solving|Decision Making|Safety|Navigation,Pilot,Transportation & Logistics
R000706,"Education: License Experience: 0 years Skills: Anatomy, Web Design, Communication, Empathy, Wireframing, Massage Therapy, Customer Service, Security Architecture",License,0,Anatomy|Web Design|Communication|Empathy|Wireframing|Massage Therapy|Customer Service|Security Architecture|Problem Solving|Shell Scripting,Massage Therapist,Beauty & Wellness
R000707,"Education: Bachelor's in Finance Experience: 4 years Skills: Compliance, Excel, Benefits Administration, Power BI, Adaptability, Market Analysis, Azure, Communication",Bachelor's in Finance,4,Compliance|Excel|Benefits Administration|Power BI|Adaptability|Market Analysis|Azure|Communication|Compensation Strategy,Compensation & Benefits Manager,Human Resources
R000708,"Education: Bachelor's in Mechanical Engineering Experience: 5 years Skills: Deep Learning, Cassandra, Materials, Vehicle Systems, CAD, MongoDB, Testing, Project Management",Bachelor's in Mechanical Engineering,5,Deep Learning|Cassandra|Materials|Vehicle Systems|CAD|MongoDB|Testing|Project Management|Problem Solving|Thermal Systems,Automotive Engineer,Engineering & Manufacturing
R000709,"Education: Security Certification Experience: 4 years Skills: Shell Scripting, Incident Response, Communication, Log Analysis, Security Protocols, Oracle, Threat Detection, SIEM",Security Certification,4,Shell Scripting|Incident Response|Communication|Log Analysis|Security Protocols|Oracle|Threat Detection|SIEM,SOC Analyst,Technology
R000710,"Education: Master's in Education Experience: 5 years Skills: Encryption, Scrum, Educational Leadership, Staff Management, Vision, Budgeting, Management, Community Relations",Master's in Education,5,Encryption|Scrum|Educational Leadership|Staff Management|Vision|Budgeting|Management|Community Relations,School Principal,Education & Training
